,name,year
674,Bob Eaton,1993
675,Yitzhak Rabin,1994
676,Tonya Harding,1994
677,Tonya Harding,1994
678,Louis Farrakhan,1994
679,Aldrich Ames,1994
680,Hillary Rodham,1994
681,Bill Clinton,1994
682,Richard Nixon,1994
683,Nelson Mandela,1994
684,War in Rwanda,1994
685,Jacqueline Kennedy,1994
686,Dwight D. Eisenhower,1994
687,Kim Il Sung,1994
688,O.J. Simpson,1994
689,Vladimir Zhirinovsky,1994
690,Fidel Castro,1994
691,Robert Sandifer,1994
692,Jimmy Carter,1994
693,Bill T. Jones,1994
694,Newt Gingrich,1994
695,Susan Smith,1994
696,William Shatner,1994
697,Newt Gingrich,1994
698,John Paul II,1994
699,Newt Gingrich,1995
700,Rush Limbaugh,1995
701,Great Hanshin earthquake,1995
702,Johnnie Cochran,1995
703,Fidel Castro,1995
704,Nicholas Leeson,1995
705,David Geffen,1995
706,Shoko Asahara,1995
707,Noël Coypel,1995
708,Claudia Schiffer,1995
709,Vietnam,1995
710,Timothy McVeigh,1995
711,"Ralph E. Reed, Jr.",1995
712,Ramesses II,1995
713,Bill Gates,1995
714,Scott O'Grady,1995
715,Colin Powell,1995
716,Bob Dole,1995
717,Colin Powell,1995
718,Michael Crichton,1995
719,O.J. Simpson,1995
720,Dick Carver,1995
721,Pat Buchanan,1995
722,Yitzhak Rabin,1995
723,Bob Dole,1995
724,Andrew F. Hawley,1995
725,Elisa Izquierdo,1995
726,Newt Gingrich,1995
727,William Bratton,1996
728,Steve Forbes,1996
729,Magic Johnson,1996
730,Marc Andreessen,1996
731,Pat Buchanan,1996
732,George Galatis,1996
733,Princess Diana,1996
734,Hillary Clinton,1996
735,Norman Schwarzkopf,1996
736,Ted Kaczynski,1996
737,Jessica Dubroff,1996
738,John F. Kennedy,1996
739,Billy Graham,1996
740,Benjamin Netanyahu,1996
741,Hillary Clinton,1996
742,Boris Yeltsin,1996
743,Prince William,1996
744,Michael Johnson,1996
745,Bob Dole,1996
746,Christopher Reeve,1996
747,Dick Morris,1996
748,Dick Morris,1996
749,Bill Gates,1996
750,Ned Johnson,1996
751,Diane Keaton,1996
752,Bob Dole,1996
753,Bill Clinton,1996
754,O.J. Simpson,1996
755,David Ho,1996
756,Bill Gates,1997
757,Bill Cosby,1997
758,O.J. Simpson,1997
759,Deng Xiaoping,1997
760,Dolly,1997
761,Marshall Applewhite,1997
762,Ellen DeGeneres,1997
763,Andrew Weil,1997
764,Steven Spielberg,1997
765,Kelly Finn,1997
766,Timothy McVeigh,1997
767,Gianni Versace,1997
768,Steve Jobs,1997
769,George Soros,1997
770,Princess Diana,1997
771,Princess Diana,1997
772,Steve Case,1997
773,Brad Pitt,1997
774,Hillary Clinton,1997
775,Michael Foale,1997
776,Alan Greenspan,1997
777,John F. Kennedy,1997
778,Bill Clinton,1997
779,Kenny McCaughey,1997
780,Al Gore,1997
781,Princess Diana,1997
782,Andrew Grove,1997
783,Jerry Seinfeld,1998
784,Toni Morrison,1998
785,Fidel Castro,1998
786,Monica Lewinsky,1998
787,Kenneth Starr,1998
788,Bill Clinton,1998
789,Bill Clinton,1998
790,John Travolta,1998
791,Paula Jones,1998
792,Frank Sinatra,1998
793,Jim Carrey,1998
794,Michael Jordan,1998
795,"Ken Griffey, Jr.",1998
796,Escherichia coli,1998
797,Monica Lewinsky,1998
798,John Glenn,1998
799,Bill Clinton,1998
800,The Clintons,1998
801,Boris Yeltsin,1998
802,Oprah Winfrey,1998
803,Tom Wolfe,1998
804,Newt Gingrich,1998
805,Moses,1998
806,Bill Clinton,1998
807,Kenneth Starr,1998
808,Bill Clinton,1999
809,Lauryn Hill,1999
810,Alan Greenspan,1999
811,Abdullah Öcalan,1999
812,Monica Lewinsky,1999
813,Bill Gates,1999
814,Slobodan Milosevic,1999
815,Madeleine Albright,1999
816,Ricky Martin,1999
817,George W. Bush,1999
818,Nicole Kidman,1999
819,"John F. Kennedy, Jr.",1999
820,"John F. Kennedy, Jr.",1999
821,Blair Witch,1999
822,Harry Potter,1999
823,Bill Bradley,1999
824,Steve Jobs,1999
825,Bill Gates,1999
826,Pokémon,1999
827,John McCain,1999
828,Jeff Bezos,1999
829,Albert Einstein,1999
830,Steve Case,2000
831,George W. Bush,2000
832,John McCain,2000
833,Leonardo DiCaprio,2000
834,George W. Bush,2000
835,Amadou Diallo,2000
836,Katie Couric,2000
837,Stephen King,2000
838,John Paul II,2000
839,Tiger Woods,2000
840,Joe Lieberman,2000
841,Kofi Annan,2000
842,Marion Jones,2000
843,Shawn Fanning,2000
844,George W. Bush,2000
845,George W. Bush,2000
846,George W. Bush,2000
847,George W. Bush,2000
848,George W. Bush,2000
849,George W. Bush,2000
850,John Ashcroft,2001
851,Bill Clinton,2001
852,Dale Earnhardt,2001
853,Bob Kerrey,2001
854,Timothy McVeigh,2001
855,George W. Bush,2001
856,Erik Weihenmayer,2001
857,Julia Roberts,2001
858,James Thomson,2001
859,Venus Williams,2001
860,Colin Powell,2001
861,Björk,2001
862,George W. Bush,2001
863,Osama bin Laden,2001
864,George W. Bush,2001
865,Osama bin Laden,2001
866,Osama bin Laden,2001
867,George Harrison,2001
868,Rudy Giuliani,2001
869,Steve Jobs,2002
870,Sarah Hughes,2002
871,Jamie Sale,2002
872,Bono,2002
873,Yasser Arafat,2002
874,Saddam Hussein,2002
875,Spider-Man,2002
876,George W. Bush,2002
877,Tom Cruise,2002
878,Bruce Springsteen,2002
879,Saddam Hussein,2002
880,George W. Bush,2002
881,Osama bin Laden,2002
882,Trent Lott,2002
883,Kim Jong-il,2003
884,Donald Rumsfeld,2003
885,George W. Bush,2003
886,Saddam Hussein,2003
887,Tommy Franks,2003
888,Laura J. Richardson,2003
889,Franklin D. Roosevelt,2003
890,Hillary Clinton,2003
891,Benjamin Franklin,2003
892,Howard Dean,2003
893,Arnold Schwarzenegger,2003
894,Johnny Cash,2003
895,Ronald Reagan,2003
896,Russell Crowe,2003
897,Jessica Lynch,2003
898,George W. Bush,2003
899,Person of the Year,2003
900,Howard Dean,2004
901,Ronald Reagan,2004
902,Bill Clinton,2004
903,Thomas Jefferson,2004
904,Michael Moore,2004
905,John Edwards,2004
906,John Kerry,2004
907,Michael Phelps,2004
908,George W. Bush,2004
909,George W. Bush,2004
910,George W. Bush,2004
911,George W. Bush,2004
912,John Paul II,2005
913,Ann Coulter,2005
914,Benedict XVI,2005
915,Bill Gates,2005
916,Abraham Lincoln,2005
917,Karl Rove,2005
918,Kanye West,2005
919,Steve Jobs,2005
920,Steven Spielberg,2005
921,Bill Gates,2005
922,Jack Abramoff,2006
923,Bode Miller,2006
924,Bill Ford,2006
925,Larry Page,2006
926,Dick Cheney,2006
927,Michael Hayden,2006
928,Abu Mousab al-Zarqawi,2006
929,Theodore Roosevelt,2006
930,Hillary Clinton,2006
931,Doutzen Kroes,2006
932,George W. Bush,2006
933,Benedict XVI,2006
934,George W. Bush,2006
935,Haji Bashar Noorzai,2007
936,Dick Cheney,2007
937,Ronald Reagan,2007
938,Don Imus,2007
939,Mitt Romney,2007
940,Al Gore,2007
941,Michael Bloomberg,2007
942,John F. Kennedy,2007
943,Rupert Murdoch,2007
944,Mother Teresa,2007
945,Hilary Rhoda,2007
946,David Petraeus,2007
947,John Roberts,2007
948,Hillary Clinton,2007
949,Barack Obama,2007
950,Vladimir Putin,2007
951,Benazir Bhutto,2008
952,John McCain,2008
953,Hillary Clinton,2008
954,George Clooney,2008
955,Barack Obama,2008
956,Hillary Clinton,2008
957,Dalai Lama VII,2008
958,Benedict XVI,2008
959,Ann Dunham,2008
960,Barack Obama,2008
961,Barack Obama,2008
962,Prozac,2008
963,Mark Twain,2008
964,Nelson Mandela,2008
965,LeBron James,2008
966,Barack Obama,2008
967,Rick Warren,2008
968,Barack Obama,2008
969,John McCain,2008
970,Sarah Palin,2008
971,Barack Obama,2008
972,Tom Ford,2008
973,John McCain,2008
974,Barack Obama,2008
975,Barack Obama,2008
976,Sylvia Tamburo,2008
977,Barack Obama,2008
978,Barack Obama,2008
979,Michelle Rhee,2008
980,Barack Obama,2008
981,Barack Obama,2009
982,Barack Obama,2009
983,Kate Winslet,2009
984,Arlenis Sosa,2009
985,Barack Obama,2009
986,Michelle Obama,2009
987,Sonia Sotomayor,2009
988,Mousavi,2009
989,Franklin D. Roosevelt,2009
990,Michael Jackson,2009
991,Sarah Palin,2009
992,Buzz Aldrin,2009
993,Apollo 11,2009
994,Dick Cheney,2009
995,Barack Obama,2009
996,Ted Kennedy,2009
997,Jay Leno,2009
998,Glenn Beck,2009
999,Hillary Clinton,2009
1000,Nidal Malik Hasan,2009
1001,Ben Bernanke,2009
1002,Northwest Airlines Flight 253,2010
1003,Barack Obama,2010
1004,Robert Gates,2010
1005,Taliban,2010
1006,Tom Hanks,2010
1007,Pope Benedict XVI,2010
1008,Steve Jobs,2010
1009,Barack Obama,2010
1010,Benigno Aquino III,2010
1011,Didier Drogba,2010
1012,Elizabeth Warren,2010
1013,Pope Benedict XVI,2010
1014,Thomas Edison,2010
1015,David Cameron,2010
1016,Bibi Aisha,2010
1017,Jonathan Franzen,2010
1018,Tony Blair,2010
1019,Wen Jiabao,2010
1020,Meg Whitman,2010
1021,John Boehner,2010
1022,Aung San Suu Kyi,2010
1023,Julian Assange,2010
1024,Sarah Palin,2010
1025,Mark Zuckerberg,2010
1026,Aung San Suu Kyi,2011
1027,Jared Lee Loughner,2011
1028,Barack Obama,2011
1029,Muammar Gaddafi,2011
1030,Muammar Gaddafi,2011
1031,Abraham Lincoln,2011
1032,Robert Mueller,2011
