Unnamed: 0,name,year,decade
332,Ruhollah Khomeini,1979,1970s
333,Mohammad Reza Shah,1979,1970s
334,Ruhollah Khomeini,1980,1980s
335,Jimmy Carter,1980,1980s
336,Eric Heiden,1980,1980s
337,Dan Rather,1980,1980s
338,Peter Sellers,1980,1980s
339,Ronald Reagan,1980,1980s
340,Jimmy Carter,1980,1980s
341,Interferon,1980,1980s
342,Thornton Wilson,1980,1980s
343,Jimmy Carter,1980,1980s
344,Jimmy Carter,1980,1980s
345,Edmund Muskie,1980,1980s
346,Darth Vader,1980,1980s
347,Pablo Picasso,1980,1980s
348,Björn Borg,1980,1980s
349,Ronald Reagan,1980,1980s
350,Billy Carter,1980,1980s
351,Larry Hagman,1980,1980s
352,Jimmy Carter,1980,1980s
353,Jimmy Carter,1980,1980s
354,Thomas Murphy,1980,1980s
355,Bear Bryant,1980,1980s
356,Jimmy Carter,1980,1980s
357,Carl Sagan,1980,1980s
358,Jimmy Carter,1980,1980s
359,Ronald Reagan,1980,1980s
360,Jane Pauley,1980,1980s
361,John Lennon,1980,1980s
362,Lech Walesa,1980,1980s
363,Ronald Reagan,1981,1980s
364,Brooke Shields,1981,1980s
365,Margaret Thatcher,1981,1980s
366,Herbert Boyer,1981,1980s
367,Alexander Haig,1981,1980s
368,Ronald Reagan,1981,1980s
369,"Diana, Princess of Wales",1981,1980s
370,Billy Martin,1981,1980s
371,Menachem Begin,1981,1980s
372,Pope John Paul II assassination attempt,1981,1980s
373,Ed Koch,1981,1980s
374,Operation Opera,1981,1980s
375,François Mitterrand,1981,1980s
376,Sandra Day O'Connor,1981,1980s
377,Caspar Weinberger,1981,1980s
378,"Charles, Prince of Wales",1981,1980s
379,James Rouse,1981,1980s
380,John Irving,1981,1980s
381,Meryl Streep,1981,1980s
382,Jesse Helms,1981,1980s
383,Ronald Reagan,1981,1980s
384,Nicholas Nickelby,1981,1980s
385,Anwar Sadat,1981,1980s
386,Ronald Reagan,1981,1980s
387,Katharine Hepburn,1981,1980s
